기준일자,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
20220501,KR7321820003,A321820,와이더플래닛,와이더플래닛,Wider Planet Inc.,20210203,KOSDAQ,주권,기술성장기업부,보통주,500,6908282
20220501,KR7057030009,A057030,와이비엠넷,YBM넷,"YBM NET, Inc.",20040608,KOSDAQ,주권,중견기업부,보통주,500,16312697
20220501,KR7122990005,A122990,와이솔,와이솔,"WiSoL CO., LTD.",20100910,KOSDAQ,주권,우량기업부,보통주,500,28186941
20220501,KR7232140004,A232140,와이아이케이,와이아이케이,YIK Corporation,20151224,KOSDAQ,주권,우량기업부,보통주,100,82045350
20220501,KR7065530008,A065530,와이어블,와이어블,Wiable,20020604,KOSDAQ,주권,중견기업부,보통주,500,52860000
20220501,KR7067900001,A067900,와이엔텍,와이엔텍,"Y-ENTEC CO.,LTD.",20051223,KOSDAQ,주권,우량기업부,보통주,500,18199659
20220501,KR7155650005,A155650,와이엠씨,와이엠씨,"YMC Co., Ltd.",20121115,KOSDAQ,주권,우량기업부,보통주,500,19974358
20220501,KR7273640003,A273640,와이엠텍,와이엠텍,"YM Tech Co., Ltd.",20210910,KOSDAQ,주권,벤처기업부,보통주,500,5483000
20220501,KR7251370003,A251370,와이엠티,와이엠티,"YMT CO., LTD.",20170427,KOSDAQ,주권,우량기업부,보통주,500,15100637
20220501,KR7066430000,A066430,와이오엠,와이오엠,"Y-OPTICS MANUFACTURE Co., Ltd.",20021224,KOSDAQ,주권,중견기업부,보통주,500,16410366
20220501,KR7193250008,A193250,와이제이엠게임즈,와이제이엠게임즈,"YJM Games Co., Ltd.",20141229,KOSDAQ,주권,중견기업부,보통주,100,57308559
20220501,KR7273060004,A273060,와이즈버즈,와이즈버즈,Wise birds Inc.,20170807,KOSDAQ,주권,중견기업부,보통주,100,50449969
20220501,KR7019210004,A019210,와이지-원,와이지-원,"YG-1 CO., LTD",19970806,KOSDAQ,주권,중견기업부,보통주,500,30573819
20220501,KR7122870009,A122870,와이지엔터테인먼트,와이지엔터테인먼트,YG Entertainment Inc.,20111123,KOSDAQ,주권,중견기업부,보통주,500,18587549
20220501,KR7037270006,A037270,와이지플러스보통주,YG PLUS,YG PLUS,20030801,KOSPI,주권,\N,보통주,500,63429410
20220501,KR7011690005,A011690,와이투솔루션보통주,와이투솔루션,Y2 Solution,19951221,KOSPI,주권,\N,보통주,500,159235637
20220501,KR7040300006,A040300,와이티엔,YTN,YTN,20010904,KOSDAQ,주권,중견기업부,보통주,1000,42000000
